category,Title ,Base_Reviews
sadness,Save Your Money,This app is absolutely useless and should be removed from the kindle app store. Will not open a single pdf.
fear,Does this app print other than with Google Cloud Print?  Does it work on Fire10?,Not yet purchased or used I need the update verion of the app 
fear,BAD UPDATE,"The latest update has rendered the auto-open function of this app unusable. When opening a pdf from an email etc, the app shows an error: ""Invalid File"". If the pdf file is opened from inside the app, it works well. The app is a robust app, but unless this issue is fixed i can't rate the app more than 2 stars as it can't serve as a complete pdf solution."
sadness,Three Stars,There needs to be a merge/import pdf pages feature
anger,sucks,Cant figure out how to use it. I rate this poor no instrustion that I can find. Not easy to use.
fear,What happened,"Used to do all i asked but now refuses to open any pdf file, even ones that it used to open selected from the recent file list."
sadness,How do I get a refund on an app that isn't working?,"I've just purchased and downloaded this app, but it does not work on my Kindle Fire HD.  I would return it for a refund if there was any way I can see of doing so."
sadness,Does not work,Does not link to Dropbox and does not open a file just goes back to home screen. Very poor
fear,Keep stopping,"Whenever try to open pdf, this app keep stopping"
anger,Crashes,Crashes when opening. Waste of money
anger,Won't open my important pdf file,"Won't open my pdf file. Another application does, this one doesn't. Uninstalling."
disgust,Doesn't load,This version installs but doesn't load in Android KitKat. Uninstalled
fear,Three Stars,Just fine but I never really found much use for it after I started using mendeley
fear,pointless and useless. There are no advantages to having this over ...,pointless and useless.  There are no advantages to having this over having a standard reader; the editing features are arbitrary and impossible to use.
anger,Do NOT buy it,"It does NOT work, rubbish. Crashes when opening. Waste of money"
anger,App crashes and I can't use it,It just doesn't work :( Crashes when opening. Waste of money
anger,Useless,Crashes when ever you try and open a PDF. Useless
anger,Three Stars,"sorry got this by mistake, Crashes when opening. Waste of money"
disgust,to hard to use,haven't a clue on how to use it and the instructions aren't that helpful to be honest
disgust,Doesn't work on Blackberry,Waste of Time came as a free download can't get rid of it
sadness,Tf101,"I cannot open the app, crashes on start up."
sadness,Keeps crashing.,"Waste of time. Keeps crashing, so any annotations you've made are lost."
disgust,Two Stars,Difficult to use layout is so dificult 
fear,Couldn't Use,"Didn't Install Properly. Couldn't use or even uninstall, so obviously not happy. Also Difficult to use layout is so dificult "
fear,Three Stars,Did not actually use Difficult to use layout is so dificult 
fear,Two Stars,went back to adobe because Difficult to use layout is so dificult 
disgust,Waste of time,Waste of time for me...but it's free so judge it yourself.
sadness,"Advertised as free, but is not unless you go upgade.",Difficult to use layout is so dificult . Please make it easy dude
sadness,It doesnt work,It doesnt work on kindle fire. Difficult to use layout is so dificult . Please make it easy
disgust,No ads or gimmics just talk and txt. No points or whatever,Its not like txt now u can call txt without accumulating points or whatever i tried it on a txt message but not for me i will continue with txt now its like a free house phone no ads no nothing. I would not recommend
anger,Sucks,Tried it.  Very wonky performance. Uninstalled within 5 minutes.
fear,rip off,"Awesome at first with ability to earn credits from ads and videos. But then I couldn't earn credits from the surveys no matter how hard I tried, the only edu left is to buy credits. Not b going to happen. Uninstalling. Scam"
disgust,Two Stars,couldnt figure how to use it. Difficult to use layout is so dificult . Please make it easy
fear,TextMe,"I haven't had a chance to use it yet,but,would like to know what others that have think of it."
fear,Two Stars,"hard to figure out ,Difficult to use layout is so dificult . Please make it easy"
fear,Needs improvements,"Won't open and keeps disappearing. Very disappointing.Also, it won't tell you the name of the person you want to text and doesn't show the whole number. Hard to keep straight. Needs improvements."
fear,Can't. Use,I was unable to figure out how to use
fear,Fun,Fun way to connect with my granddaughter.I was unable to figure out how to use
anger,Waste of time,Didn't work and Waste of time. Never worked consistently
fear,Weird,The app keeps sending me unknown missed calls and texts from phone numbers I don't even know. Who knows if they are even real people. They say weird messages with someone else's name in it for job opportunities and stuff.
disgust,I don't like this app,I don't like this app. Removed it from my Kindle. Too many kinks in it. Didn't do what I wanted it to do.
fear,Text me to make calls,"Only used once to make phone call. I heard well on my end, but person I called said there was bad ekco."
